src/com/sist/main3/GenieMusicSystem.java:3:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.io.IOException'
src/com/sist/main3/GenieMusicSystem.java:9:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/com/sist/main3/GenieMusicSystem.java:9:	CommentRequired:	CommentRequired: Class comments are required
src/com/sist/main3/GenieMusicSystem.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/com/sist/main3/GenieMusicSystem.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/com/sist/main3/GenieMusicSystem.java:14:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/com/sist/main3/GenieMusicSystem.java:40:	NonStaticInitializer:	NonStaticInitializer: Non-static initializers are confusing
src/com/sist/main3/GenieMusicSystem.java:43:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'doc' could be declared final
src/com/sist/main3/GenieMusicSystem.java:55:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'title' could be declared final
src/com/sist/main3/GenieMusicSystem.java:55:	LooseCoupling:	LooseCoupling: Avoid using implementation types like 'Elements'; use the interface instead
src/com/sist/main3/GenieMusicSystem.java:58:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'singer' could be declared final
src/com/sist/main3/GenieMusicSystem.java:58:	LooseCoupling:	LooseCoupling: Avoid using implementation types like 'Elements'; use the interface instead
src/com/sist/main3/GenieMusicSystem.java:61:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'album' could be declared final
src/com/sist/main3/GenieMusicSystem.java:61:	LooseCoupling:	LooseCoupling: Avoid using implementation types like 'Elements'; use the interface instead
src/com/sist/main3/GenieMusicSystem.java:63:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'etc' could be declared final
src/com/sist/main3/GenieMusicSystem.java:63:	LooseCoupling:	LooseCoupling: Avoid using implementation types like 'Elements'; use the interface instead
src/com/sist/main3/GenieMusicSystem.java:64:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/com/sist/main3/GenieMusicSystem.java:72:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 's' could be declared final
src/com/sist/main3/GenieMusicSystem.java:72:	ShortVariable:	ShortVariable: Avoid variables with short names like s
src/com/sist/main3/GenieMusicSystem.java:73:	UnusedAssignment:	UnusedAssignment: The initializer for variable 'state' is never used (overwritten on lines 77 and 83)
src/com/sist/main3/GenieMusicSystem.java:74:	UnusedAssignment:	UnusedAssignment: The initializer for variable 'value' is never used (overwritten on lines 78 and 84)
src/com/sist/main3/GenieMusicSystem.java:75:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
